GEO_PICT,TIME_PERIOD,POP_N,LVST_YIELD,CROP_YIELD,TRSM_ARR,LVST_YIELD_var,CROP_YIELD_var,TRSM_ARR_var,10M_N,20M_N,5M_N
NC,2001,227730.0,440.7,7740.5,152000.0,1.403589507593182,3.4636704239998863,-24.524137931034474,,,
NC,2002,232266.0,437.6,7962.8,158000.0,0.6902899217671461,6.435051334180784,-21.544827586206893,,,
NC,2003,236695.0,438.1,8052.5,166000.0,0.8053382420616657,7.634029596183581,-17.57241379310345,,,
NC,2004,240872.0,449.8,7497.4,177000.0,3.49746893695351,0.21426556900674143,-12.110344827586204,,,
NC,2005,244413.0,471.4,7004.5,182000.0,8.467556373676928,-6.3740999308949995,-9.627586206896538,,,
NC,2006,247565.0,496.7,6945.8,219000.0,14.289001380579819,-7.158715582841097,8.744827586206895,,,
NC,2007,250744.0,477.8,6384.1,227000.0,9.94017487344685,-14.666698746352608,12.717241379310366,,,
NC,2008,253853.0,460.8,6074.5,256000.0,6.028531983433055,-18.80497823259644,27.117241379310357,,,
NC,2009,257271.0,437.4,6465.4,230000.0,0.6442705936493383,-13.579999385139345,14.206896551724128,,,
NC,2010,261598.0,427.4,6315.6,282000.0,-1.6566958122411535,-15.582306449219857,40.02758620689656,49703.62,117719.1,31391.76
NC,2011,266561.0,417.4,6806.9,348000.0,-3.957662218131631,-9.015327406611362,72.80000000000001,50646.590000000004,119952.45,31987.32
NC,2012,271657.0,443.7,7179.7,390000.0,2.093879429360328,-4.032282857284159,93.65517241379311,51614.83,122245.65000000001,32598.84
NC,2013,276850.0,409.8,6345.3,494000.0,-5.706396686608372,-15.18532033571391,145.29655172413794,52601.5,124582.5,33222.0
NC,2014,281250.0,412.6,6456.5,529000.0,-5.0621260929590335,-13.698961553833058,162.67586206896556,53437.5,126562.5,33750.0
NC,2015,283193.0,527.5,5500.3,558000.0,21.375977910722497,-26.480043093711444,177.07586206896553,53806.67,127436.85,33983.159999999996
NC,2016,283442.0,530.7,5276.7,625000.0,22.112287160607465,-29.46880050044311,210.34482758620692,53853.98,127548.90000000001,34013.04
NC,2017,283569.0,523.0,5332.6,626000.0,20.340543028071778,-28.72161114876019,210.84137931034485,53878.11,127606.05,34028.28
NC,2018,283565.0,542.2,5341.5,576000.0,24.7583985273815,-28.602648980066476,186.01379310344828,53877.35,127604.25,34027.799999999996
NC,2019,283619.0,531.3,5301.0,474000.0,22.250345144960875,-29.143993680301875,135.36551724137934,53887.61,127628.55,34034.28
